02:00:14 Log started
02:00:14 appl. path:	c:\Source\cpp\OpenOrion\0.3.7
02:00:14 log path:	c:\Source\cpp\OpenOrion\0.3.7\log
02:00:14 config path:	c:\Source\cpp\OpenOrion\0.3.7\config\default.cfg
02:00:14 textures path:	c:\Source\cpp\OpenOrion\0.3.7\textures
02:00:14 fonts path:	c:\Source\cpp\OpenOrion\0.3.7\fonts
02:00:14 objects path:	c:\Source\cpp\OpenOrion\0.3.7\objects
02:00:14 scripts path:	c:\Source\cpp\OpenOrion\0.3.7\scripts
02:00:14 dialogs path:	c:\Source\cpp\OpenOrion\0.3.7\dialogs
02:00:15 Loading file: scripts/init.txt
02:00:15 Loading config: config/default.cfg
02:00:15 Loading texture: textures/anonya.bmp
02:00:15 Loading texture: textures/bullet.bmp
02:00:15 Loading texture: textures/powerups.bmp
02:00:15 Loading texture: textures/explosions.bmp
02:00:15 Loading texture: textures/btard.bmp
02:00:16 Loading texture: textures/heart.bmp
02:00:16 Loading texture: textures/ammo.bmp
02:00:16 Loading texture: textures/score.bmp
02:00:16 Loading texture: textures/tiles.bmp
02:00:16 Loading texture: textures/btard_face.bmp
02:00:16 Loading texture: textures/anonya_face.bmp
02:00:16 Loading texture: textures/anonya_figure.bmp
02:00:16 Loading texture: textures/unyl_tan_figure.bmp
02:00:16 Loading texture: textures/shadow.bmp
02:00:16 Loading texture: textures/slowpoke.bmp
02:00:16 Loading texture: textures/slowpoke_face.bmp
02:00:16 Loading resource: objects/anonya.txt
02:00:16 Loading resource: objects/bullet.txt
02:00:16 Loading resource: objects/btard.txt
02:00:16 Loading resource: objects/pwr_health.txt
02:00:16 Loading resource: objects/pwr_ammo.txt
02:00:16 Loading resource: objects/pwr_score.txt
02:00:16 Loading resource: objects/explosion.txt
02:00:16 Loading resource: objects/tile_floor.txt
02:00:16 Loading resource: objects/tile_wall.txt
02:00:16 Loading resource: objects/tile_wall_1.txt
02:00:16 Loading resource: objects/tile_column_1.txt
02:00:16 Loading resource: objects/tile_wall_main.txt
02:00:16 Loading resource: objects/tile_wall_2.txt
02:00:16 Loading resource: objects/tile_wall_lamp.txt
02:00:16 Loading resource: objects/tile_wall_up.txt
02:00:16 Loading resource: objects/anonya_face.txt
02:00:16 Loading resource: objects/btard_face.txt
02:00:16 Loading resource: objects/anonya_figure.txt
02:00:16 Loading resource: objects/unyl_tan_figure.txt
02:00:16 Loading resource: objects/shadow.txt
02:00:16 Loading resource: objects/slowpoke.txt
02:00:16 Loading resource: objects/slowpoke_face.txt
02:00:16 Loading dialog: dialogs/dialog1.txt
02:00:16 Loading font: Courier New
02:00:16 Loading sound: sounds/iie_lab.it
02:00:16 Loading sound: sounds/iie_boss.it
02:00:16 Loading sound: sounds/iie_street.it
02:00:16 Loading file: scripts/menu_main.txt
02:00:16 Loading file: scripts/choose_hero.txt
02:00:17 Loading file: levels\level1.txt
02:00:23 Saving screenshot...
02:00:24 Finished logging
